,Name,Location,Year,Kilometers_Driven,Mileage,Engine,Power,Seats,New_Price,Price,0,1,2,3,4,5,6,7,8,9,10
0,1200,9,2010,72000,37.24,998,58.16,5.0,0,1.75,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1,512,10,2015,41000,19.6,1582,126.2,5.0,0,12.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2,486,2,2011,46000,18.0,1199,88.7,5.0,8.61,4.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
3,1059,2,2012,87000,20.7,1248,88.76,7.0,0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
4,23,3,2013,40670,15.0,1968,140.8,5.0,0,17.74,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
5,530,5,2012,75000,29.54,814,55.2,5.0,0,2.35,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
6,1378,6,2013,86999,23.0,1461,63.1,5.0,0,3.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
7,1778,9,2016,36000,11.3,2755,171.5,8.0,21,17.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
8,1847,10,2013,64430,20.5,1598,103.6,5.0,0,5.2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
9,1582,2,2012,65932,22.0,1248,74,5.0,0,1.95,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
10,1038,7,2018,25692,21.5,1462,103.25,5.0,10.65,9.95,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
11,422,8,2012,60000,16.0,1497,116.3,5.0,0,4.49,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
12,1160,6,2015,64424,25.0,1248,74,5.0,0,5.6,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
13,813,4,2014,72000,12.0,2179,187.7,5.0,0,27.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
14,810,10,2012,85000,0.0,2179,115,5.0,0,17.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
15,1369,4,2014,110000,13.0,2477,175.56,7.0,32.01,15.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
16,367,7,2016,58950,25.0,1498,98.6,5.0,0,5.4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
17,1124,6,2017,25000,28.0,1248,74,5.0,0,5.99,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
18,1445,7,2014,77469,20.4,1461,83.8,5.0,0,6.34,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
19,1319,1,2014,78500,14.8,2143,167.62,5.0,0,28.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
20,74,7,2014,32982,22.6,1995,190,5.0,47.87,18.55,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
21,1099,1,2015,55392,23.6,1248,88.5,5.0,0,8.25,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
22,33,9,2015,55985,13.5,1984,177.01,5.0,0,23.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
23,714,8,2010,45807,18.0,1197,80,5.0,0,1.87,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
24,1856,8,2010,33000,14.0,1598,103.6,5.0,0,2.85,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
25,426,9,2012,51920,16.0,1497,116.3,5.0,0,4.25,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
26,1378,5,2012,54000,23.0,1461,63.1,5.0,0,4.25,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
27,960,5,2013,54000,20.9,998,67.1,5.0,0,2.75,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
28,499,7,2018,37430,17.0,1199,88.7,5.0,10.57,9.9,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
29,1759,9,2007,262000,12.0,2494,102,7.0,0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
30,1437,1,2013,62000,19.0,1461,108.45,5.0,0,7.75,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
31,1692,4,2012,87615,14.5,1798,138.1,5.0,0,6.75,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
32,901,1,2013,72000,11.1,2696,184,7.0,0,12.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
33,25,8,2010,35000,12.0,2698,179.5,5.0,0,11.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
34,1844,3,2014,55431,16.0,1598,103.5,5.0,12.33,6.98,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
